Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA0145,NA,NA,Q9I6Y7,deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]; deoxyribonucleoside monophosphate catabolic process [GO:0009159],NA,NA,NA,NA
PA0146,,(RefSeq) hypothetical protein,Q9I6Y6,plasma membrane [GO:0005886],NA,NA,NA,ABC transporters
PA0147,NA,NA,Q9I6Y5,2-oxoglutarate oxygenase/decarboxylase (ethylene-forming) activity [GO:0102276]; dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; ethylene biosynthetic process [GO:0009693],NA,COG3491,,NA
PA0148,,(RefSeq) adenosine deaminase,Q9I6Y4,adenine deaminase activity [GO:0000034]; zinc ion binding [GO:0008270]; adenine catabolic process [GO:0006146]; hypoxanthine salvage [GO:0043103]; nucleotide metabolic process [GO:0009117],NA,COG1816,Menaquinone biosynthesis,"Metabolic pathways, Nucleotide metabolism, Purine metabolism"
PA0149,NA,NA,Q9I6Y3,"cytosol [GO:0005829]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; regulation of metal ion transport [GO:0010959]; response to stimulus [GO:0050896]",NA,NA,NA,NA
PA0150,,(RefSeq) transmembrane sensor,Q9I6Y2,integral component of membrane [GO:0016021]; sigma factor antagonist activity [GO:0016989],NA,NA,NA,Two-component system
PA0151,NA,NA,Q9I6Y1,cell outer membrane [GO:0009279]; outer membrane [GO:0019867]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; cell surface receptor signaling pathway [GO:0007166]; iron ion homeostasis [GO:0055072],NA,NA,NA,NA
PA0152,NA,NA,Q9I6Y0,"protein-DNA complex [GO:0032993]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0153,pcaH,"(RefSeq) protocatechuate 3,4-dioxygenase subunit beta",Q9I6X9,"ferric iron binding [GO:0008199]; protocatechuate 3,4-dioxygenase activity [GO:0018578]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]",NA,COG3485,,"Benzoate degradation, Microbial metabolism in diverse environments, Degradation of aromatic compounds, Metabolic pathways"
PA0154,pcaG,"(RefSeq) protocatechuate 3,4-dioxygenase subunit alpha",Q9I6X8,"ferric iron binding [GO:0008199]; protocatechuate 3,4-dioxygenase activity [GO:0018578]; aromatic compound catabolic process [GO:0019439]",NA,COG3485,,"Metabolic pathways, Degradation of aromatic compounds, Benzoate degradation, Microbial metabolism in diverse environments"
PA0155,NA,NA,Q9I6X7,"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; 3,4-dihydroxybenzoate metabolic process [GO:0046278]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]",NA,COG1414,,NA
PA0156,NA,NA,Q9I6X6,efflux pump complex [GO:1990281]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; cell division [GO:0051301],NA,NA,NA,NA
PA0157,NA,NA,Q9I6X5,efflux pump complex [GO:1990281]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; cell division [GO:0051301],NA,NA,NA,NA
PA0158,NA,NA,Q9I6X4,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; xenobiotic transmembrane transporter activity [GO:0042910]; cell division [GO:0051301],NA,NA,NA,NA
PA0159,NA,NA,Q9I6X3,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0160,NA,NA,Q9I6X2,NA,NA,NA,NA,NA
PA0162,NA,NA,Q9I6X0,integral component of membrane [GO:0016021]; porin activity [GO:0015288],NA,NA,NA,NA
PA0163,NA,NA,Q9I6W9,"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG2207,,NA
PA0164,,(RefSeq) gamma-glutamyltranspeptidase,Q9I6W8,NA,NA,NA,NA,"Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Metabolic pathways"
PA0165,NA,NA,Q9I6W7,cell outer membrane [GO:0009279],NA,NA,NA,NA
PA0166,NA,NA,Q9I6W6,integral component of plasma membrane [GO:0005887]; xanthine transmembrane transporter activity [GO:0042907]; xanthine transport [GO:0042906],NA,COG2233,Pyrimidine degradation,NA
PA0167,NA,NA,Q9I6W5,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,NA
PA0168,NA,NA,Q9I6W4,regulation of translational initiation [GO:0006446],NA,NA,NA,NA
PA0169,,(RefSeq) hypothetical protein,Q9I6W3,plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201],NA,COG2199,,Biofilm formation - Pseudomonas aeruginosa
PA0170,NA,NA,Q9I6W2,NA,NA,NA,NA,NA
PA0171,NA,NA,Q9I6W1,NA,NA,NA,NA,NA
PA0172,NA,NA,Q9I6W0,integral component of membrane [GO:0016021]; phosphatase activity [GO:0016791]; signal transduction [GO:0007165],NA,COG2208,,NA
PA0173,,(RefSeq) chemotaxis response regulator protein-glutamate methylesterase,Q9I6V9,cytoplasm [GO:0005737]; phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]; chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482],NA,COG2201,,"Two-component system, Bacterial chemotaxis"
PA0174,,(RefSeq) hypothetical protein,Q9I6V8,protein-glutamine glutaminase activity [GO:0050568]; chemotaxis [GO:0006935],NA,NA,NA,Bacterial chemotaxis
PA0175,,(RefSeq) chemotaxis protein methyltransferase,Q9I6V7,protein-glutamate O-methyltransferase activity [GO:0008983],NA,COG1352,,"Two-component system, Bacterial chemotaxis"
PA0176,aer2,(RefSeq) aerotaxis transducer Aer2,Q9I6V6,integral component of plasma membrane [GO:0005887]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; transmembrane signaling receptor activity [GO:0004888]; aerotaxis [GO:0009454]; chemotaxis [GO:0006935]; positive aerotaxis [GO:0052131]; signal transduction [GO:0007165],NA,NA,NA,"Two-component system, Bacterial chemotaxis"
PA0177,,(RefSeq) purine-binding chemotaxis protein,Q9I6V5,cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],NA,NA,NA,"Two-component system, Bacterial chemotaxis"
PA0178,,(RefSeq) two-component sensor,Q9I6V4,cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935]; protein autophosphorylation [GO:0046777],NA,COG0643,,"Bacterial chemotaxis, Two-component system"
PA0179,,(RefSeq) two-component response regulator,Q9I6V3,phosphorelay signal transduction system [GO:0000160],NA,NA,NA,"Two-component system, Bacterial chemotaxis"
PA0180,cttP,(RefSeq) trichloroethylene chemotactic transducer CttP,Q9I6V2,integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],NA,NA,NA,"Two-component system, Bacterial chemotaxis"
PA0181,NA,NA,Q9I6V1,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA0182,,(RefSeq) 3-ketoacyl-ACP reductase,Q9I6V0,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",NA,COG1028,Fatty acid biosynthesis,"Fatty acid biosynthesis, Biotin metabolism, Fatty acid metabolism, Biosynthesis of secondary metabolites, Metabolic pathways, Biosynthesis of cofactors"
PA0183,NA,NA,P51691,cytoplasm [GO:0005737]; arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081],NA,NA,NA,NA
PA0184,,(RefSeq) ABC transporter ATP-binding protein,Q9I6U9,ATP binding [GO:0005524],NA,COG1116,,"ABC transporters, Sulfur metabolism"
PA0185,,(RefSeq) ABC transporter permease,Q9I6U8,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; alkanesulfonate transmembrane transporter activity [GO:0042959]; transmembrane transporter activity [GO:0022857]; alkanesulfonate transport [GO:0042918],NA,COG0600,,"ABC transporters, ABC transporters, Sulfur metabolism, Sulfur metabolism"
PA0186,,(RefSeq) ABC transporter,G3XD96,transmembrane transporter activity [GO:0022857]; sulfur compound metabolic process [GO:0006790],NA,NA,NA,"Sulfur metabolism, ABC transporters"
PA0187,NA,NA,Q9I6U7,oxidoreductase activity [GO:0016491],NA,COG2175,,NA
PA0188,NA,NA,Q9I6U6,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG0679,,NA
PA0189,,(RefSeq) porin,Q9I6U5,integral component of membrane [GO:0016021]; porin activity [GO:0015288],NA,NA,NA,"beta-Lactam resistance, Two-component system"
PA0190,,(RefSeq) acid phosphatase,Q9I6U4,outer membrane-bounded periplasmic space [GO:0030288]; acid phosphatase activity [GO:0003993],NA,COG0671,Phospholipid biosynthesis,"Riboflavin metabolism, Two-component system, Metabolic pathways"
PA0191,NA,NA,Q9I6U3,"cytosol [GO:0005829]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0192,NA,NA,Q9I6U2,cell outer membrane [GO:0009279],NA,NA,NA,NA
PA0193,NA,NA,Q9I6U1,cytoplasm [GO:0005737]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706],NA,COG2175,,NA
PA0194,NA,NA,Q9I6U0,cytoplasm [GO:0005737]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; taurine dioxygenase activity [GO:0000908]; sulfur compound metabolic process [GO:0006790],NA,COG2175,,NA
PA0195,pntAA,(RefSeq) NAD(P) transhydrogenase subunit alpha,Q14T74,plasma membrane [GO:0005886]; NAD binding [GO:0051287]; NAD(P)+ transhydrogenase activity [GO:0008746]; NADP binding [GO:0050661]; NADPH regeneration [GO:0006740],NA,NA,NA,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
PA0195.1,pntAB,(RefSeq) NAD(P) transhydrogenase subunit alpha,Q14T73,integral component of membrane [GO:0016021],NA,NA,NA,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
PA0196,pntB,(RefSeq) pyridine nucleotide transhydrogenase subunit beta,Q9I6T9,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NAD(P)+ transhydrogenase (AB-specific) activity [GO:0008750]; NADP binding [GO:0050661],NA,COG1282,,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
PA0197,NA,NA,Q9RMT3,integral component of membrane [GO:0016021]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane protein complex [GO:0098797]; energy transducer activity [GO:0031992]; siderophore transmembrane transporter activity [GO:0015343]; protein transport [GO:0015031],NA,COG0810,,NA
PA0198,NA,NA,G3XCW0,integral component of plasma membrane [GO:0005887]; protein import [GO:0017038],NA,COG0811,,NA
PA0199,NA,NA,Q9RMT1,integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]; protein transport [GO:0015031],NA,NA,NA,NA
PA0200,NA,NA,Q9I6T8,NA,NA,NA,NA,NA
PA0201,NA,NA,Q9I6T7,hydrolase activity [GO:0016787],NA,COG3545,,NA
PA0202,,(RefSeq) amidase,Q9I6T6,catalytic activity [GO:0003824],NA,NA,NA,"Arginine and proline metabolism, Phenylalanine metabolism, Tryptophan metabolism, Aminobenzoate degradation, Styrene degradation, Metabolic pathways, Microbial metabolism in diverse environments"
PA0203,,(RefSeq) ABC transporter,Q9I6T5,periplasmic space [GO:0042597]; polyamine binding [GO:0019808]; polyamine transport [GO:0015846],NA,COG0687,,ABC transporters
PA0204,,(RefSeq) ABC transporter permease,Q9I6T4,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1177,,ABC transporters
PA0205,,(RefSeq) ABC transporter permease,Q9I6T3,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1176,,ABC transporters
PA0206,,(RefSeq) spermidine/putrescine ABC transporter ATP-binding protein,Q9I6T2,ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524],NA,COG3842,,ABC transporters
PA0207,NA,NA,Q9I6T1,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA0208,NA,NA,Q9I6T0,transferase activity [GO:0016740],NA,NA,NA,NA
PA0209,NA,NA,Q9I6S9,ATP binding [GO:0005524]; triphosphoribosyl-dephospho-CoA synthase activity [GO:0046917]; phosphorylation [GO:0016310]; prosthetic group biosynthetic process [GO:0051191],NA,COG1767,,NA
PA0210,NA,NA,Q9I6S8,cytoplasm [GO:0005737]; acyl carrier activity [GO:0000036],NA,NA,NA,NA
PA0211,NA,NA,Q9I6S7,carboxy-lyase activity [GO:0016831]; cellular carbohydrate metabolic process [GO:0044262]; fatty acid biosynthetic process [GO:0006633],NA,COG0777,Fatty acid biosynthesis,NA
PA0212,NA,NA,Q9I6S6,cellular carbohydrate metabolic process [GO:0044262],NA,NA,NA,NA
PA0213,NA,NA,Q9I6S5,nucleotidyltransferase activity [GO:0016779],NA,NA,NA,NA
PA0214,NA,NA,Q9I6S4,cytosol [GO:0005829]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; fatty acid biosynthetic process [GO:0006633],NA,NA,NA,NA
PA0215,NA,NA,Q9I6S3,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0216,NA,NA,Q9I6S2,integral component of membrane [GO:0016021]; sodium:malonate symporter activity [GO:0044668],NA,NA,NA,NA
PA0217,NA,NA,Q9I6S1,"protein-DNA complex [GO:0032993]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0218,NA,NA,Q9I6S0,"protein-DNA complex [GO:0032993]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0219,,(RefSeq) aldehyde dehydrogenase,Q9I6R9,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; organic substance metabolic process [GO:0071704]",NA,COG1012,Proline degradation,"Metabolic pathways, Arginine and proline metabolism"
PA0220,NA,NA,Q9I6R8,integral component of membrane [GO:0016021]; L-amino acid transmembrane transporter activity [GO:0015179]; histamine uptake [GO:0051615],NA,COG0531,,NA
PA0221,,(RefSeq) aminotransferase,Q9I6R7,4-aminobutyrate transaminase activity [GO:0003867]; adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]; gamma-aminobutyric acid metabolic process [GO:0009448],NA,NA,NA,"Arginine and proline metabolism, Metabolic pathways"
PA0222,,(RefSeq) hypothetical protein,Q9I6R6,NA,NA,COG0687,,Quorum sensing
PA0223,,(RefSeq) dihydrodipicolinate synthetase,Q9I6R5,cytosol [GO:0005829]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; metal ion binding [GO:0046872],NA,NA,NA,"Monobactam biosynthesis, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of amino acids"
PA0224,,(RefSeq) class II aldolase/adducin domain-containing protein,Q9I6R4,cytoskeleton [GO:0005856]; actin filament binding [GO:0051015]; monosaccharide metabolic process [GO:0005996],NA,NA,NA,"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
PA0225,NA,NA,Q9I6R3,"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG1917,,NA
PA0225,NA,NA,Q9I6R3,"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG1476,,NA
PA0226,,(RefSeq) CoA transferase subunit A,Q9I6R2,3-oxoadipate CoA-transferase activity [GO:0047569]; beta-ketoadipate pathway [GO:0042952],NA,COG1788,,"Microbial metabolism in diverse environments, Styrene degradation, Butanoate metabolism, Metabolic pathways"
PA0227,,(RefSeq) CoA transferase subunit B,Q9I6R1,3-oxoadipate CoA-transferase activity [GO:0047569]; beta-ketoadipate pathway [GO:0042952],NA,COG2057,,"Microbial metabolism in diverse environments, Metabolic pathways, Styrene degradation, Butanoate metabolism"
PA0228,pcaF,(RefSeq) beta-ketoadipyl CoA thiolase,Q9I6R0,"3-oxoadipyl-CoA thiolase activity [GO:0033812]; acetyl-CoA C-acyltransferase activity [GO:0003988]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]; beta-ketoadipate pathway [GO:0042952]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]",NA,NA,NA,"Benzoate degradation, Microbial metabolism in diverse environments"
PA0229,NA,NA,Q9I6Q9,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],NA,COG2814,,NA
PA0230,pcaB,"(RefSeq) 3-carboxy-cis,cis-muconate cycloisomerase",Q9I6Q8,"cytoplasm [GO:0005737]; 3-carboxy-cis,cis-muconate cycloisomerase activity [GO:0047472]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]; beta-ketoadipate pathway [GO:0042952]",NA,COG0015,Purine biosynthesis,"Metabolic pathways, Microbial metabolism in diverse environments, Benzoate degradation, Degradation of aromatic compounds"
PA0231,pcaD,(RefSeq) 3-oxoadipate enol-lactonase,Q9I6Q7,3-oxoadipate enol-lactonase activity [GO:0047570]; beta-ketoadipate pathway [GO:0042952],NA,COG0596,Menaquinone biosynthesis,"Metabolic pathways, Benzoate degradation, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
PA0232,pcaC,(RefSeq) 4-carboxymuconolactone decarboxylase,Q9I6Q6,peroxiredoxin activity [GO:0051920],NA,COG0599,,"Benzoate degradation, Degradation of aromatic compounds, Metabolic pathways, Microbial metabolism in diverse environments"
PA0233,NA,NA,Q9I6Q5,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0234,NA,NA,Q9I6Q4,cell outer membrane [GO:0009279],NA,NA,NA,NA
PA0235,NA,NA,Q9I6Q3,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; chemotaxis [GO:0006935],NA,COG2814,,NA
